id,사업명,지역,유형,시행사,시공사,대출규모,대주·주관,착공·준공,부실시점,현재상태,공매회차·가격추이,핵심수치,기준일,출처
1,라우어 시니어타운(오시리아 메디타운),부산 기장 오시리아,실버타운(임대형)+양로시설+병원+상가,㈜썬시티(2019 설립·하한출 회장·㈜하윤 84.4%),한화 건설부문(도급 3700억),본PF 2100억(2024.9 차환)+853억 추가(2025.7),메리츠증권 신용보강→NH투자증권→키움증권 SPC 800억,2021.12 착공·2025.2 준공,2025.7 준공 후 현금부족·2026.1 환불지연,만기 2028.6으로 연장·미분양 담보신탁·자본잠식,공매 없음(만기연장으로 연명),순손실 305억·자본총계 -623억(2025말)·한화 미수금 1388억·환불요구 225억·상가분양률 25.73%·입주율 77%(2025.8),2026-09-08,https://www.bloter.net/news/articleView.html?idxno=665343
2,서초 르니드,서울 서초 양재역,하이엔드 오피스텔 156실+상가 16실,에스엔에이치씨,롯데건설,본PF 2270억(A 1900·B 300·C 70),메리츠증권·신한캐피탈·DGB캐피탈 등,2025.1 준공,2023.10 유동화 차환중단·2025.4 EOD,7회 유찰 후 수의계약 가능,3216억(1회)→1744억(7회)·감정가 3041억,분양률 약 30%(오피스텔 33.6%·상가 0%)·22평 분양가 26~30억,2026-09-08,https://www.thedailyeconomy.kr/news/articleView.html?idxno=5624
3,오데뜨오드 도곡,서울 강남 도곡동,하이엔드 도시형생활주택 84가구+상가 24실,미상(기사 미명시),DL이앤씨,신탁 1순위 수익권 950억(비비도곡1·2차)·시공사 2순위 490억,-,2023.7 준공,미분양으로 EOD·2024.9 공매 개시,5회차 공매 진행·신탁계약 소송·시공사 채권매각 무산,1829억(최초)→905억(2026 5차)·감정가 1407억의 64%,분양률 한 자릿수·평당 7300만·형사고소 진행,2026-09-08,https://www.thedailyeconomy.kr/news/articleView.html?idxno=6176
4,포도 바이 펜디 까사,서울 강남,하이엔드 주거(펜트하우스 200억+),미상,미상,미상,미상,사업 좌초,2025 이전,공매 4회 유찰(2025.9 기준),감정가 3183억→2000억대,-,2025-09-15,https://v.daum.net/v/pX75hnCnQK
5,청담 프리마호텔 복합개발(아만 서울),서울 강남 청담동,하이엔드 호텔 74실+주거 29+오피스텔 20,신세계청담PFV(신세계프라퍼티 50%·베이직부동산신탁 44.99%),신세계건설(4013억),브릿지론 7000억(2026.3.25·만기 9.22)·토지 4100억(2021.12),KB증권·삼성증권·NH투자증권(본PF 주관),2026.4 착공·2030 준공 목표,브릿지 만기 임박(9.22),본PF 전환 심의 9.17 예정(결과 미확정),공매 없음,대조군: 대기업이 브릿지→본PF 전환을 시도 중인 하이엔드,2026-09-08,https://www.edaily.co.kr/News/Read?newsId=03929446645577824
6,더뉴그레이 침산파크,대구 북구 침산동,실버타운(임대형),미상,미상,미상,미상,-,수익성 미확보,사업 재구조화(사실상 무산),공매 정보 없음,청약 2.52:1·보증금 2.3~5.9억·월 190~320만,2025-06-18,https://www.ibtomato.com/ExternalView.aspx?type=1&no=15284
7,신림역 센트레빌335,서울 관악 신림동(16필지),오피스텔 335실(20층),아이원산업개발,동부건설(263억 대여·1순위 근질권),PF 1287억(2022),동부건설 등,미착공(지상 철거 2022.2·지하 구조물 잔존),본PF 전환 실패→EOD,공매 7회차(2025.10) 진행,감정가 2223억→1193억,지하 4900㎡ 구조물·명도 비용 매수인 부담,2026-04-15,https://www.thedailyeconomy.kr/news/articleView.html?idxno=5398
8,신독산역 노보텔 부지,서울 금천 독산동,주상복합 284가구(역세권 활성화),미상,태영건설(워크아웃),브릿지론 약 1600억(53개 기관·새마을금고 800억),새마을금고 등,미착공(철거 중),2024.9 만기연장 후 원리금 미상환 EOD,수의계약 단계,감정가 1556억→910억(17회 이상 유찰·기사별 회차 상이),시공사 워크아웃 리스크가 사업 전체로 전이,2026-04-15,https://www.thedailyeconomy.kr/news/articleView.html?idxno=5399
9,대전 용계동 114-3,대전 유성 도안,오피스텔+근생 계획(토지 4108㎡+구건물+아파트 135호),도안미래홀딩스,롯데건설(예정),브릿지론 980억(A~D 4개 트랜치),하나증권,미착공,-,14회 유찰 후 수의계약 단계,감정가 450억→230억(51%),권리 정리 필요한 사업 전 단계 자산,2026-03,https://www.thedailyeconomy.kr/news/articleView.html?idxno=5345
10,신갈오거리 32필지,경기 용인 기흥 신갈동,주상복합 33층(2012 인허가)→지역주택조합 318가구 시도,미상,미상,미상(만기 미상환),교보자산신탁 공매,미착공,2025.5 건축허가 취소,11회 유찰·공매와 지주택 모집 동시 진행,감정가 1288억→900억,14년째 사업방식만 변경,2026-08,https://www.thedailyeconomy.kr/news/articleView.html?idxno=6231
11,김해 어방동 의료시설,경남 김해 어방동,병원 건물 14층(의원·한방·종합병원 구성),미상,미상,새마을금고 13곳 135억(1순위)·시공사 106억(2순위),새마을금고,2021.5 허가·2024.2 준공,준공 후 개원 못함(전체 공실),NPL 매각 중·공매 6회차,260억(1회·2026.3)→157.9억(6회)·감정가 240억,준공은 됐지만 운영이 없는 사례,2026-08,https://www.thedailyeconomy.kr/news/articleView.html?idxno=6125
12,화성 복합물류센터(미래인 계열),경기 화성,물류센터,미래인 계열 시행사,-,미래에셋증권 대출(2024.10 연장),미래에셋증권,미착공(수년간),2025.1 EOD 사유 발생(선언 유보),사업권·부지 양도 추진,공매 없음,자산 201억·부채 205억·자본 -3억 완전자본잠식,2026,https://dealsite.co.kr/articles/160485
13,안양 관양동 물류센터(코크렙안양),경기 안양 동안구,저온·상온 물류센터 9.5만㎡,코크렙안양(LF·코람코 420억 출자),DL건설(도급 1190억),PF(2024.5 만기),-,2023 준공,임차 70% 조건 미충족·EOD 우려,2024.4 이후 상태 미확인,-,LF 540억 증자 거부·시공사 신용보강,2024-04-26,https://biz.heraldcorp.com/article/3379847
14,경기 양주 PF 사업장(뉴스토마토 사례),경기 양주,주거(추정),미상,미상,미상,미상,미착공,-,8회 유찰 후 1년 뒤 재공매(같은 1회차가 2008억),1회차 2008억 동일,수의계약 가능 상태로 정체,2026,https://www.newstomato.com/ReadNews.aspx?no=1311801
15,서초동 오피스 부지,서울 서초동,오피스,미상,미상,약 2000억,미상,미착공,-,유찰 끝에 재공매,미상(더벨 2025.11),-,2025-11-26,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202511261115291840105513
16,은평 시니어 레지던스(대조군),서울 은평 진관동,실버타운 214가구,은평진관동PFV(현대건설 29.9%·이지스 19.9% 등),동원건설산업,본PF 2500억(A 1250·B 450·C 800),한국투자증권·현대건설 후순위 800억 자금보충,건설 중,-,정상 진행,공매 없음,대기업 지분+신용보강 구조,2026-08,https://www.bloter.net/news/articleView.html?idxno=631901
17,소요한남 by 파르나스(대조군),서울 용산 한남동,실버타운 111가구,미상,포스코이앤씨,미상,미상,분양 2026 상반기,-,정상(청약 13.4:1),공매 없음,보증금 52~60억·월 264만,2026-05-31,https://www.edaily.co.kr/News/Read?newsId=01256246645454496
18,남판교 더 힐(대조군),경기 용인 수지 고기동,분양형 실버타운 713+임대 179(2015년 법개정 전 인허가 예외),㈜시원,현대건설,미상,미상,2026.5 착공,-,정상 진행,공매 없음,10년 만의 분양형이지만 예외 물량,2026-04-15,https://v.daum.net/v/YWNinlPKY6
